Latitude,CorrectedRange,Range,WetTropoCorrection,DryTropoCorrection,IonoCorrection
-25.117617,812315.6562999999,812318.1202,-0.131,-2.3201,-0.0128
-25.114624,812314.5000005394,812316.9639,-0.13099958047270777,-2.3200998801350594,-0.0128
-25.111629999999998,812313.3387463806,812315.8026,-0.13096392624378206,-2.320089693212509,-0.0128
-25.108636999999998,812312.1905922224,812314.6544,-0.13092827143073082,-2.320079506123066,-0.0128
-25.105643,812311.1233380644,812313.5871,-0.13089261657595636,-2.3200693190217017,-0.0128
-25.10265,812309.9664839064,812312.4302000001,-0.13085696167945862,-2.3200591319084167,-0.0128
-25.099657,812308.9300297484,812311.3937,-0.1308213068664074,-2.3200489448189736,-0.0128
-25.096663,812307.8070755902,812310.2707,-0.13078565196990968,-2.3200387577056887,-0.0128
-25.09367,812306.6685214323,812309.1321,-0.13074999715685845,-2.320028570616245,-0.0128
-25.090676,812305.5462672742,812308.0098,-0.13071434226036072,-2.32001838350296,-0.0128
-25.087683,812304.4488131162,812306.9123,-0.13067868740558625,-2.320008196401596,-0.0128
-25.084688999999997,812303.3712589579,812305.8347,-0.130643032759428,-2.3199980093598365,-0.0128
-25.081695999999997,812302.2111047999,812304.6745,-0.1306073778629303,-2.3199878222465515,-0.0128
-25.078702,812301.0967506418,812303.5601,-0.13057172300815584,-2.3199776351451873,-0.0128
-25.075709,812300.0605964839,812302.5239,-0.13053606815338134,-2.3199674480438235,-0.0128
-25.072715,812298.7454423257,812301.2087,-0.13050041329860687,-2.3199572609424592,-0.0128
-25.069722,812297.7015881677,812300.1648,-0.1304647584438324,-2.319947073841095,-0.0128
-25.066727999999998,812296.6554340096,812299.1186,-0.13042910363078117,-2.319936886751652,-0.0128
-25.063734999999998,812295.6570798516,812298.1202,-0.13039344873428343,-2.319926699638367,-0.0128
-25.060741,812294.4283256935,812296.8914,-0.13035779392123223,-2.3199165125489234,-0.0128
-25.057748,812293.3198715355,812295.7829,-0.1303221390247345,-2.3199063254356385,-0.0128
-25.054754,812292.2893077233,812294.7523,-0.13029034586548804,-2.3199019308269024,-0.0128
-25.051761,812291.0738280978,812293.5368,-0.13026487763524056,-2.319907024472952,-0.0128
-25.048766999999998,812290.0084484721,812292.4714,-0.13023940988183022,-2.319912118023634,-0.0128
-25.045773999999998,812288.8837688463,812291.3467,-0.13021394212841989,-2.319917211574316,-0.0128
-25.04278,812287.7299892204,812290.1929,-0.13018847437500955,-2.319922305124998,-0.0128
-25.039787,812286.6781095947,812289.1410000001,-0.1301630065917969,-2.319927398681641,-0.0128
-25.036793,812285.6088299688,812288.0717,-0.13013753886818885,-2.3199324922263624,-0.0128
-25.0338,812284.3825503432,812286.8454,-0.1301120710849762,-2.319937585783005,-0.0128
-25.030806,812283.2746707173,812285.7375,-0.13008660333156585,-2.319942679333687,-0.0128
-25.027813,812282.1714910915,812284.6343,-0.13006113560795785,-2.319947772878409,-0.0128
-25.024818999999997,812281.1584114658,812283.6212,-0.13003566782474518,-2.319952866435051,-0.0128
-25.021825999999997,812280.06893184,812282.5317,-0.13001020010113715,-2.3199579599797726,-0.0128
-25.018832,812278.897052214,812281.3598,-0.1299847323179245,-2.3199630535364153,-0.0128
-25.015838,812277.7970725883,812280.2598,-0.12995926456451415,-2.3199681470870974,-0.0128
-25.012845,812276.6498929625,812279.1126,-0.1299337968111038,-2.3199732406377795,-0.0128
-25.009850999999998,812275.6007133366,812278.0634,-0.12990832905769348,-2.3199783341884617,-0.0128
-25.006857999999998,812274.5345337109,812276.9972,-0.12988286133408547,-2.3199834277331832,-0.0128
-25.003864,812273.3332540852,812275.7959,-0.1298573935508728,-2.319988521289826,-0.0128
-25.000871,812272.2021744594,812274.6648,-0.12983192582726477,-2.3199936148345475,-0.0128
-24.997877,812271.2709948334,812273.7336,-0.12980645810365676,-2.319998708379269,-0.0128
-24.994884,812269.9457190091,812272.4083,-0.1297847927093506,-2.319996198177338,-0.0128
-24.991889999999998,812268.8199444767,812271.2825,-0.12976441853046417,-2.3199911046326163,-0.0128
-24.988896,812267.8400699446,812270.3026,-0.1297440443277359,-2.319986011081934,-0.0128
-24.985903,812266.7387954122,812269.2013,-0.1297236701965332,-2.3199809175491337,-0.0128
-24.982909,812265.58902088,812268.0515000001,-0.1297032960176468,-2.3199758240044117,-0.0128
-24.979916,812264.4624463477,812266.9249,-0.12968292179107666,-2.3199707304477695,-0.0128
-24.976922,812263.3919718155,812265.8544000001,-0.1296625476360321,-2.319965636909008,-0.0128
-24.973927999999997,812262.2417972833,812264.7042,-0.129642173409462,-2.319960543352366,-0.0128
-24.970934999999997,812261.112422751,812263.5748000001,-0.12962179920673372,-2.3199554498016837,-0.0128
-24.967941,812260.1653482188,812262.6277000001,-0.12960142500400543,-2.3199503562510015,-0.0128
-24.964948,812258.8090736864,812261.2714,-0.12958105080127716,-2.3199452627003194,-0.0128
-24.961954,812257.6859991542,812260.1483,-0.12956067662239076,-2.319940169155598,-0.0128
-24.958959999999998,812256.5613246219,812259.0236,-0.12954030239582062,-2.319935075598955,-0.0128
-24.955966999999998,812255.4894500896,812257.9517,-0.12951992819309235,-2.319929982048273,-0.0128
-24.952973,812254.4477755575,812256.91,-0.12949955399036409,-2.319924888497591,-0.0128
-24.949979,812253.3824010253,812255.8446,-0.12947917978763582,-2.3199197949469093,-0.0128
-24.946986,812252.187926493,812254.6501,-0.12945880556106568,-2.3199147013902666,-0.0128
