Time,Latitude,Longitude,Range,CorrectedRange,LLH,CorrectedLLH,OrthometricHeight
512166003.57255864,52.410373,13.645919,810517.8138,810515.4369,70.1469,70.1959,30.3958
512166003.67442966,52.416242,13.643068,810519.4395,810517.0626,69.8224,69.8714,30.0873
514498801.20444965,52.405086,13.645793999999999,810677.5428,810675.1265,71.3593,71.3730,31.5554
514498801.2539208,52.407936,13.644409,810677.3272,810674.9109,72.1988,72.2124,32.4026
514498801.30337906,52.410785999999995,13.643023999999999,810677.7054,810675.2891,72.4444,72.4580,32.6558
514498801.35284996,52.413636,13.641637999999999,810679.3829,810676.9667,71.3907,71.4044,31.6099
514498801.40229535,52.416484,13.640253,810682.4898,810680.0736,68.9073,68.9210,29.1341
516831604.93007755,52.404151,13.648173,810559.5882,810557.1687,71.4182,71.4104,31.5928
516831604.9795232,52.407,13.646789,810559.9027,810557.4832,71.7160,71.7082,31.8984
516831605.0289941,52.40985,13.645404,810560.6452,810558.2258,71.5860,71.5782,31.7761
516831605.07844067,52.412698999999996,13.644019,810562.1692,810559.7499,70.6742,70.6664,30.8719
516831605.12788606,52.415547,13.642634999999999,810561.3268,810558.9076,72.1287,72.1209,32.3340
516831605.1773443,52.418397,13.641249,810565.2677,810562.8486,68.8001,68.7923,29.0130
519164405.5055766,52.404610999999996,13.656474999999999,810329.9034,810327.4284,72.0687,72.0811,32.2747
519164405.55500937,52.407458999999996,13.655090999999999,810330.9688,810328.4938,71.6184,71.6308,31.8321
519164405.6044421,52.410306999999996,13.653706999999999,810333.4681,810330.9931,69.7342,69.7466,29.9556
519164405.65388775,52.413156,13.652322999999999,810334.1222,810331.6472,69.6954,69.7078,29.9245
519164405.70333314,52.416005,13.650938,810335.3458,810332.8709,69.0869,69.0993,29.3238
519164405.75275326,52.418852,13.649554,810338.1760,810335.7011,66.8716,66.8840,27.1162
519164405.802186,52.421701,13.648169999999999,810340.9189,810338.4440,64.7438,64.7562,24.9960
521497205.7596092,52.407691,13.659753,810319.3467,810316.8307,71.9739,72.0323,32.2402
521497205.809042,52.41054,13.65837,810323.0383,810320.5223,68.9090,68.9674,29.1830
521497205.85848737,52.413388999999995,13.656984999999999,810323.7057,810321.1897,68.8685,68.9269,29.1503
521497205.90792036,52.416236999999995,13.655602,810324.9934,810322.4774,68.2075,68.2659,28.4971
521497205.9573531,52.419084999999995,13.654218,810327.9189,810325.4029,65.9087,65.9671,26.2060
521497206.00678587,52.421932999999996,13.652833,810330.8269,810328.3109,63.6274,63.6858,23.9324
523830004.87570095,52.415355,13.659441,810545.7054,810543.2371,68.0238,68.1029,28.3359
523830004.9251466,52.418203999999996,13.658057,810547.6321,810545.1638,66.7264,66.8055,27.0462
523830004.974592,52.421053,13.656673,810551.6072,810549.1389,63.3806,63.4597,23.7082
526162803.0339408,52.405074,13.648804,810637.7537,810635.2663,71.1754,71.2191,31.4053
526162803.08339906,52.407923999999994,13.647418,810638.6483,810636.1609,70.9023,70.9460,31.1399
526162803.1328449,52.410771999999994,13.646033,810639.2735,810636.7860,70.8986,70.9423,31.1437
526162803.18231654,52.413622,13.644648,810640.2841,810637.7966,70.5097,70.5534,30.7625
526162803.2317753,52.416472,13.643262,810641.8046,810639.3171,69.6107,69.6544,29.8711
