Time,Latitude,Longitude,Range,CorrectedRange,LLH,CorrectedLLH,OrthometricHeight
526162802.6383014,52.382281,13.659879,810631.9719,810629.4847,71.9845,72.0282,32.1520
526162802.68775964,52.38513,13.658494999999998,810632.7843,810630.2971,71.7937,71.8374,31.9691
526162802.73720527,52.387978999999994,13.657110999999999,810633.2187,810630.7314,71.9809,72.0246,32.1640
528495608.250849,52.371345,13.658441,810509.6842,810507.2123,72.4802,72.4606,32.5473
528495608.3003073,52.374193999999996,13.657058,810510.5310,810508.0592,72.2495,72.2299,32.3243
530828405.97029305,52.372305,13.674033,810378.6971,810376.2675,72.2753,72.2197,32.3275
530828406.0197258,52.375153,13.672651,810379.4482,810377.0186,72.1461,72.0905,32.2065
530828406.0691595,52.378001,13.671268999999999,810380.0354,810377.6058,72.1809,72.1253,32.2490
530828406.11859226,52.380849999999995,13.669887,810380.7089,810378.2793,72.1293,72.0738,32.2052
530828406.168025,52.383697999999995,13.668503999999999,810381.2354,810378.8057,72.2248,72.1692,32.3083
530828406.21747065,52.386547,13.667121999999999,810381.9371,810379.5074,72.1452,72.0896,32.2365
530828406.2669034,52.389395,13.665738999999999,810383.3175,810380.8878,71.3867,71.3311,31.4857
533161203.81912565,52.380843999999996,13.675170999999999,810490.5097,810488.0540,72.0791,72.0419,32.1790
533161203.8685713,52.383693,13.673789,810491.0629,810488.6071,72.1566,72.1194,32.2646
533161203.9180298,52.386542999999996,13.672405999999999,810491.7262,810489.2704,72.1241,72.0869,32.2403
533161203.96747565,52.389392,13.671024,810492.3669,810489.9110,72.1141,72.0769,32.2383
535494002.3490703,52.370255,13.663333999999999,810646.6464,810644.2369,72.0716,72.0866,32.1751
535494002.3985157,52.373104,13.661951,810647.2110,810644.8015,72.1358,72.1509,32.2471
535494002.4479866,52.375954,13.660566999999999,810647.7880,810645.3784,72.1879,72.2029,32.3069
535494002.49743223,52.378803,13.659184,810648.5830,810646.1734,72.0217,72.0367,32.1485
535494002.5468905,52.381651999999995,13.6578,810649.1526,810646.7430,72.0810,72.0961,32.2156
535494002.5963614,52.384502999999995,13.656414999999999,810649.7898,810647.3801,72.0729,72.0879,32.2152
537826805.0934346,52.371012,13.668973999999999,810656.2092,810653.8399,70.4644,70.5009,30.5988
537826805.1428928,52.373861,13.667591,810655.9734,810653.6041,71.3207,71.3572,31.4629
537826805.1923635,52.376712,13.666208,810655.8602,810653.4908,72.0547,72.0911,32.2045
537826805.2418218,52.379560999999995,13.664824999999999,810656.5586,810654.1892,71.9767,72.0131,32.1343
537826805.2912672,52.38241,13.663442,810657.2526,810654.8832,71.9030,71.9395,32.0683
537826805.3407383,52.385259999999995,13.662058,810657.8501,810655.4807,71.9261,71.9626,32.0992
537826805.3901837,52.388109,13.660675,810658.7043,810656.3349,71.6922,71.7287,31.8730
540159605.1759465,52.375982,13.675822,810496.9633,810494.5596,72.0077,71.9913,32.1136
540159605.2253919,52.378831,13.674439999999999,810497.4488,810495.0451,72.1393,72.1230,32.2530
540159605.2748375,52.381679999999996,13.673058,810498.2779,810495.8741,71.9273,71.9109,32.0487
540159605.3242829,52.384529,13.671674999999999,810499.0224,810496.6186,71.7999,71.7835,31.9291
540159605.3737285,52.387378,13.670292,810500.0020,810497.5982,71.4373,71.4210,31.5743
542492403.7744303,52.382805,13.67506,810412.8276,810410.4285,72.1775,72.0911,32.2346
