Time,Latitude,Longitude,Range,CorrectedRange,LLH,CorrectedLLH,OrthometricHeight
549490815.847152,52.436431999999996,13.633021,810514.6325,810512.1118,71.7472,71.7860,32.0559
549490815.8965979,52.439281,13.631635,810515.1775,810512.6569,71.8164,71.8552,32.1329
549490815.9460568,52.44213,13.630249,810515.7346,810513.2140,71.8737,71.9125,32.1978
549490815.9955027,52.444979,13.628862999999999,810516.5252,810514.0047,71.6973,71.7361,32.0291
551823614.5815146,52.42912,13.642944,810336.9289,810334.4824,71.9113,72.0152,32.2728
551823614.6309474,52.431968,13.64156,810337.7394,810335.2930,71.7182,71.8221,32.0872
551823614.680393,52.434816999999995,13.640175,810338.6684,810336.2222,71.4067,71.5106,31.7834
551823614.7298384,52.437666,13.638789,810339.4090,810336.9629,71.2836,71.3874,31.6678
551823614.7792714,52.440514,13.637404,810339.6135,810337.1676,71.6964,71.8003,32.0883
551823614.8287041,52.443362,13.636019,810340.0394,810337.5937,71.8877,71.9916,32.2873
551823614.8781497,52.446211,13.634633,810340.6852,810338.2396,71.8594,71.9632,32.2665
554156412.1318283,52.4329,13.647243999999999,810367.1141,810364.6558,71.7515,71.8531,32.1282
554156412.1812739,52.435748999999994,13.645859,810367.7481,810365.2899,71.7447,71.8463,32.1289
554156412.2307193,52.438598,13.644473,810368.3646,810365.9064,71.7555,71.8571,32.1470
554156412.2801521,52.441446,13.643087999999999,810369.0229,810366.5648,71.7242,71.8258,32.1231
554156412.3295848,52.444294,13.641703,810369.5259,810367.0679,71.8482,71.9498,32.2545
556489209.4484625,52.435038999999996,13.647554999999999,810561.6929,810559.2471,70.1867,70.2517,30.5338
556489209.4979208,52.437888,13.64617,810562.3220,810559.8762,70.1857,70.2507,30.5403
556489209.5473664,52.440737,13.644784999999999,810562.6837,810560.2379,70.4519,70.5170,30.8141
556489209.5968246,52.443587,13.643398999999999,810562.7430,810560.2972,71.0207,71.0858,31.3904
556489209.6462708,52.446435,13.642014,810562.8908,810560.4450,71.5008,71.5659,31.8781
558822007.4036543,52.429552,13.636327,810626.1763,810623.7599,71.9106,71.9613,32.2122
558822007.4530997,52.432399999999994,13.634941,810626.8712,810624.4548,71.8363,71.8870,32.1456
558822007.502558,52.435249999999996,13.633554,810627.7504,810625.3340,71.5779,71.6286,31.8948
558822007.5520291,52.4381,13.632166999999999,810628.3622,810625.9458,71.5870,71.6377,31.9115
558822007.6014745,52.440948,13.63078,810628.7858,810626.3694,71.7840,71.8347,32.1161
558822007.6509328,52.443796999999996,13.629392999999999,810629.1258,810626.7094,72.0647,72.1155,32.4045
561154811.2026696,52.42743,13.639794,810525.7090,810523.2684,62.6011,62.6580,22.9063
561154811.2521157,52.430279,13.638408,810517.2914,810514.8508,71.6362,71.6931,31.9489
561154811.3015618,52.433127999999996,13.637022,810518.2161,810515.7755,71.3290,71.3859,31.6492
561154811.3510077,52.435976,13.635637,810518.8380,810516.3974,71.3246,71.3815,31.6523
561154811.4004538,52.438824999999994,13.634250999999999,810519.2265,810516.7859,71.5536,71.6105,31.8888
561154811.4499125,52.441675,13.632864,810519.7667,810517.3261,71.6311,71.6880,31.9738
561154811.4993455,52.444522,13.631478,810520.0068,810517.5662,72.0083,72.0652,32.3586
563487611.8404963,52.429122,13.642367,810430.1655,810427.7605,67.8792,67.9271,28.1843
563487611.889929,52.43197,13.640982,810431.2344,810428.8294,67.4336,67.4816,27.7464
563487611.9393747,52.434818,13.639597,810432.0117,810429.6066,67.2798,67.3277,27.6002
563487611.9888079,52.437667,13.638212,810432.6783,810430.2732,67.2364,67.2843,27.5646
563487612.0382547,52.440515,13.636827,810431.6354,810429.2303,68.9028,68.9507,29.2383
563487612.0876882,52.443363,13.635441,810429.6614,810427.2563,71.5000,71.5479,31.8428
563487612.1371341,52.446211999999996,13.634056,810429.9811,810427.5760,71.8037,71.8516,32.1537
565820408.4674363,52.436513,13.646825,810518.4715,810516.0429,69.9243,69.8997,30.1856
565820408.516882,52.439361999999996,13.645439999999999,810519.0957,810516.6672,69.9300,69.9054,30.1989
565820408.5663273,52.442209999999996,13.644055,810519.3590,810516.9305,70.2966,70.2720,30.5729
565820408.6157856,52.44506,13.642669,810519.4160,810516.9875,70.8698,70.8452,31.1536
568153211.5158796,52.429511,13.63356,810671.6918,810669.3408,72.2333,72.0821,32.3298
568153211.5653384,52.432359999999996,13.632174,810672.4573,810670.1064,72.0961,71.9450,32.2004
568153211.6147971,52.43521,13.630787,810673.2706,810670.9197,71.9112,71.7600,32.0231
568153211.6642559,52.438058999999996,13.629401,810673.8075,810671.4566,72.0027,71.8515,32.1222
570486013.7881365,52.427459,13.638231999999999,810661.7655,810659.2980,72.1841,71.9772,32.2240
570486013.8375947,52.430308,13.636846,810662.6406,810660.1731,71.9282,71.7213,31.9758
570486013.8870656,52.433158,13.63546,810663.4304,810660.9629,71.7578,71.5509,31.8131
570486013.9365113,52.436007,13.634074,810664.0976,810661.6301,71.7096,71.5027,31.7726
570486013.9859822,52.438857,13.632688,810664.5026,810662.0351,71.9240,71.7171,31.9947
570486014.0354416,52.441705999999996,13.631302,810664.8369,810662.3694,72.2088,72.0019,32.2869
570486014.0848877,52.444555,13.629916,810664.2363,810661.7688,73.4284,73.2215,33.5137
572818813.0445366,52.429623,13.643129,810489.8597,810487.4883,68.0079,67.8687,28.1285
572818813.0939822,52.432472,13.641744,810490.5827,810488.2113,67.9010,67.7618,28.0290
572818813.1434278,52.435320999999995,13.640359,810491.3225,810488.9511,67.7774,67.6382,27.9128
572818813.1928861,52.43817,13.638974,810491.7838,810489.4124,67.9324,67.7932,28.0752
572818813.2423315,52.441019,13.637588,810490.9216,810488.5502,69.4107,69.2715,29.5609
572818813.2917771,52.443867999999995,13.636203,810490.0688,810487.6974,70.8797,70.7406,31.0373
572818813.3412354,52.446717,13.634817,810490.0791,810487.7077,71.4857,71.3466,31.6508
575151611.6035078,52.428197999999995,13.634708999999999,810407.4018,810405.0487,71.9475,71.9277,32.1727
575151611.6529408,52.431045999999995,13.633322999999999,810407.9433,810405.5902,72.0296,72.0098,32.2624
575151611.7023864,52.433895,13.631936999999999,810408.6002,810406.2471,71.9964,71.9766,32.2369
575151611.7518191,52.436743,13.630550999999999,810409.2669,810406.9138,71.9533,71.9335,32.2015
575151611.8012645,52.439592,13.629164,810409.9418,810407.5887,71.9021,71.8823,32.1580
577484415.6616108,52.429238999999995,13.640013999999999,810530.5512,810528.0884,71.8007,71.8819,32.1365
577484415.711057,52.432088,13.638629,810531.2139,810528.7511,71.7654,71.8466,32.1088
577484415.7605152,52.434937,13.637243,810531.7747,810529.3119,71.8323,71.9134,32.1833
577484415.8099606,52.437785999999996,13.635857,810532.4408,810529.9780,71.7936,71.8747,32.1523
577484415.8594189,52.440635,13.634471,810532.9878,810530.5250,71.8742,71.9553,32.2405
577484415.9088519,52.443483,13.633085,810533.6560,810531.1933,71.8332,71.9144,32.2072
577484415.9583101,52.446332,13.631698,810534.3084,810531.8457,71.8084,71.8895,32.1901
579817216.0831797,52.431815,13.646932,810604.6287,810602.1762,71.4526,71.5687,31.8401
579817216.132638,52.434664,13.645546999999999,810605.3703,810602.9179,71.3314,71.4475,31.7263
