Time,Latitude,Longitude,LLH,CorrectedLLH,OrthometricHeight
512166002.35010576,52.339937,13.68009,73.7466,73.7956,33.7979
512166002.4010413,52.342872,13.678668,72.2242,72.2732,32.2839
512166002.4519768,52.345807,13.677246,73.3427,73.3917,33.4109
512166003.57255864,52.410373,13.645919,70.1469,70.1959,30.3958
512166003.67442966,52.416242,13.643068,69.8224,69.8714,30.0873
514498799.918442,52.330994,13.681752,69.9247,69.9382,29.9128
514498799.9679003,52.333844,13.680371,70.6117,70.6252,30.6097
514498800.01735735,52.336693999999994,13.678989999999999,73.6515,73.6650,33.6587
514498800.06681585,52.339543,13.677608,70.4301,70.4436,30.4452
514498800.11628747,52.342394,13.676226999999999,70.2203,70.2338,30.2433
514498800.1657462,52.345242999999996,13.674845,70.0849,70.0984,30.1158
514498800.2151923,52.348092,13.673464,68.9806,68.9941,29.0194
514498800.2646637,52.350941999999996,13.672080999999999,72.2063,72.2198,32.2530
514498800.31412244,52.353792,13.670698999999999,72.3040,72.3175,32.3586
514498800.36359406,52.356642,13.669317,72.2417,72.2552,32.3042
514498800.4130528,52.359491999999996,13.667933999999999,72.2684,72.2819,32.3388
514498800.4625113,52.362341,13.666552,72.1457,72.1592,32.2240
514498800.51198244,52.365192,13.665168999999999,72.0753,72.0889,32.1616
514498800.5614407,52.368041,13.663786,71.1050,71.1186,31.1992
514498800.6109116,52.370891,13.662402,71.4353,71.4489,31.5374
514498800.6603699,52.373740999999995,13.661019,72.1025,72.1161,32.2125
514498800.70982814,52.37659,13.659635999999999,72.0548,72.0684,32.1727
514498800.7592993,52.379439999999995,13.658252,72.1180,72.1316,32.2438
514498800.80875754,52.38229,13.656868999999999,72.2215,72.2351,32.3552
514498800.85822845,52.38514,13.655484999999999,72.1583,72.1719,32.2999
514498800.9076867,52.387989,13.654100999999999,72.1006,72.1142,32.2501
514498800.9571576,52.39084,13.652716,72.0636,72.0772,32.2211
514498801.0066159,52.393688999999995,13.651332,72.1598,72.1734,32.3251
514498801.0560751,52.396538,13.649948,71.9462,71.9598,32.1192
514498801.10553336,52.399387999999995,13.648563,71.8318,71.8454,32.0125
514498801.1549916,52.402237,13.647179,71.5835,71.5971,31.7719
514498801.20444965,52.405086,13.645793999999999,71.3593,71.3730,31.5554
514498801.2539208,52.407936,13.644409,72.1988,72.2124,32.4026
514498801.30337906,52.410785999999995,13.643023999999999,72.4444,72.4580,32.6558
514498801.35284996,52.413636,13.641637999999999,71.3907,71.4044,31.6099
514498801.40229535,52.416484,13.640253,68.9073,68.9210,29.1341
514498801.4517665,52.419334,13.638867,67.5737,67.5874,27.8083
514498801.50122476,52.422183,13.637481,71.9712,71.9849,32.2134
514498801.550683,52.425033,13.636095,71.8285,71.8422,32.0784
514498801.6001539,52.427882999999994,13.634708999999999,71.9474,71.9611,32.2050
514498801.6496122,52.430732,13.633322999999999,71.9341,71.9478,32.1994
514498801.69907045,52.433581,13.631936999999999,71.8876,71.9014,32.1606
514498801.7485416,52.436431,13.63055,71.9487,71.9625,32.2294
514498801.79800034,52.43928,13.629163,71.9073,71.9210,32.1957
514498801.8474462,52.442128999999994,13.627777,71.9798,71.9936,32.2759
514498801.8969176,52.444978,13.626389,71.9460,71.9598,32.2498
